V,D,traffic_pattern,time[s],max_load
16,5,uniform,0.0377407,7.67102
16,5,shift_1,0.00621415,4.16669
16,5,shift_half,0.0060943,5.35712
25,6,uniform,0.248373,6.82972
25,6,shift_1,0.0157432,3.5
25,6,shift_half,0.0175518,4.10346
36,7,uniform,0.658489,7.14803
36,7,shift_1,0.0435117,2.5
36,7,shift_half,0.0340404,4.5
49,8,uniform,0.181556,7.12293
49,8,shift_1,0.065431,2.93333
49,8,shift_half,0.0638477,4.7619
64,9,uniform,0.253445,7.59164
64,9,shift_1,0.119015,3.125
64,9,shift_half,0.123312,3.46155
81,10,uniform,0.461555,7.32616
81,10,shift_1,0.209658,5
81,10,shift_half,0.214891,3.75
100,11,uniform,0.7717,7.38124
100,11,shift_1,0.333691,5
100,11,shift_half,0.327383,7.5
