V,D,traffic_pattern,time[s],max_load
16,5,uniform,0.00375079,7.96014
16,5,shift_1,0.00198893,3.85419
16,5,shift_half,0.00206579,5.35712
25,6,uniform,0.00737617,7.54238
25,6,shift_1,0.00561704,3.1875
25,6,shift_half,0.00600167,3.99786
36,7,uniform,0.0219345,7.61752
36,7,shift_1,0.0133835,2.57812
36,7,shift_half,0.0125565,4.64062
49,8,uniform,0.0308354,7.73722
49,8,shift_1,0.0244645,2.025
49,8,shift_half,0.023602,3.77976
64,9,uniform,0.055759,8.66326
64,9,shift_1,0.0446734,1.95312
64,9,shift_half,0.044127,1.80289
81,10,uniform,0.0927188,8.2237
81,10,shift_1,0.0811511,1.71875
81,10,shift_half,0.0816621,2.10938
100,11,uniform,0.164195,8.33248
100,11,shift_1,0.135302,1.66667
100,11,shift_half,0.130535,2.46094
