V,D,traffic_pattern,time[s],max_load
16,5,uniform,0.00336204,8.00109
16,5,shift_1,0.00158212,3.85419
16,5,shift_half,0.00167672,5.35712
25,6,uniform,0.00843828,7.31534
25,6,shift_1,0.00444415,3.1875
25,6,shift_half,0.00453663,4.06898
36,7,uniform,0.010586,8.0647
36,7,shift_1,0.0105581,2.57812
36,7,shift_half,0.00990904,4.64062
49,8,uniform,0.0288157,7.69012
49,8,shift_1,0.0189072,2.025
49,8,shift_half,0.0182079,3.77976
64,9,uniform,0.0431891,8.66172
64,9,shift_1,0.0290806,1.95312
64,9,shift_half,0.0289075,1.80289
81,10,uniform,0.0617483,8.22526
81,10,shift_1,0.053361,1.71875
81,10,shift_half,0.0540775,2.10938
100,11,uniform,0.107728,8.34194
100,11,shift_1,0.0869523,1.66667
100,11,shift_half,0.0810016,2.46094
121,12,uniform,4.9521e-06,0
121,12,shift_1,4.4778e-06,0
121,12,shift_half,4.0389e-06,0
144,13,uniform,4.1287e-06,0
144,13,shift_1,3.9536e-06,0
144,13,shift_half,3.5487e-06,0
